Fund Name,Abbr,Series,Fund Type,Geography,Objective,Risk Level,Distribution Policy,Fund Size (RM Mil),Launch Date,Status,Outperform Rate (%),Periods Assessed,YTD Fund (%),YTD Benchmark (%),YTD Alpha,1Y Fund (%),1Y Benchmark (%),1Y Alpha,3Y Fund (%),3Y Benchmark (%),3Y Alpha,5Y Fund (%),5Y Benchmark (%),5Y Alpha,10Y Fund (%),10Y Benchmark (%),10Y Alpha,AE YTD,AE 1Y,AE 3Y,AE 5Y,AE 10Y,Alloc: Domestic Equity,Alloc: Foreign Equity,Alloc: Fixed Income / Sukuk,Alloc: Money Market,Alloc: Deposits,Alloc: Other,Geo: USA,Geo: Taiwan,Geo: Korea,Geo: Japan,Geo: France,Geo: Germany,Geo: China,Geo: Singapore,Geo: Netherlands,Geo: Indonesia,Geo: Australia,Geo: Geo Other,Sector: Industrial,Sector: Technology,Sector: Financial,Sector: Communications,Sector: Consumer Discretionary,Sector: Consumer Staples,Sector: Utilities,Sector: Energy,Sector: Materials,Sector: Real Estate,Sector: Other Sector,Top 5 Holdings,Top 5 Sectors,Volatility Factor,Volatility Class,Lipper Class,Benchmark,Source MFR
PUBLIC ISLAMIC SELECT TREASURES FUND,PISTF,Shariah,Equity,Malaysia,Capital Growth,5,Incidental,1262.73,26.02.2008,Qualified,100.0,5/5,5.86,1.20,4.66,18.31,0.31,18.00,9.42,1.36,8.06,2.81,-2.46,5.27,5.52,0.84,4.68,0.51,1.98,0.89,0.58,0.51,74.70,20.40,,4.90,,,7.00,6.40,2.80,4.20,,,,,,,,,37.30,7.20,15.70,8.50,,20.90,,,,,,TIME dotCom Berhad | KPJ Healthcare Berhad | Frontken Corporation Berhad | Vitrox Corporation Berhad | Farm Fresh Berhad,"Industrial (37.3%) | Consumer, Non-cyclical (20.9%) | Financial (15.7%) | Communications (8.5%) | Technology (7.2%)",9.1,Moderate,Equity Malaysia Domestic,,[MFR FEB26] Public Series of Shariah-Based Funds.pdf
PUBLIC ISLAMIC EMERGING OPPORTUNITIES FUND,PIEMOF,Shariah,Equity,Malaysia,Capital Growth,5,Incidental,104.43,30.03.2016,Qualified,100.0,4/4,8.87,1.14,7.73,19.49,0.73,18.76,8.86,1.66,7.20,2.76,-1.83,4.59,,,,0.91,2.21,0.85,0.54,,71.80,21.00,,7.20,,,7.10,5.70,3.00,5.20,,,,,,,,,35.10,,11.60,,5.10,21.70,,7.50,,,,Spritzer Berhad | Gas Malaysia Berhad | Malayan Cement Berhad | Kinik Company | Shibaura Mechatronics Corporation,"Industrial (35.1%) | Consumer, Non-cyclical (21.7%) | Financial (11.6%) | Energy (7.5%) | Consumer, Cyclical (5.1%)",8.5,Moderate,Equity Malaysia Domestic,,[MFR FEB26] Public Series of Shariah-Based Funds.pdf
PUBLIC ASIA ITTIKAL FUND,PAIF,Shariah,Equity,Malaysia,Capital Growth,5,Incidental,5179.30,22.08.2006,Qualified,100.0,5/5,24.96,16.63,8.33,55.72,32.88,22.84,22.06,14.92,7.14,5.12,2.91,2.21,9.82,7.79,2.03,0.43,1.17,0.37,0.11,0.10,,94.60,,5.40,,,3.40,30.60,41.40,11.40,,,7.80,,,,,,26.80,54.70,,13.10,,,,,,,,Samsung Electronics Company Limited | SK Hynix Incorporated | Taiwan Semiconductor Manufacturing Company Limited | HD Hyundai Electric Company Limited | Delta Electronics Incorporated,Technology (54.7%) | Industrial (26.8%) | Communications (13.1%),19.5,Very High,Equity Asia Pacific Asia,"ThebenchmarkforPAIFisacompositeof30%KualaLumpurSyariahIndex(prior to 1 November 2007), 30% FTSE Bursa Malaysia EMAS Shariah Index (1 November 2007 to 29 April 2011), 30% FTSE Bursa Malaysia Hijrah Shariah Index (30April2011to29April2013),15%FTSEBursaMalaysiaHijrahShariahIndex (w.e.f. 30 April 2013), 15% customised indexbyS&P Dow Jones Indices, LLC based on top 20 constituents bymarket capitalisation of the S&P BMIShariah JapanIndex(w.e.f.30April2013)and70%DowJonesIslamicMarketAsiaEx- JapanIndexSM(priorto1January2009),70%S&PShariahBMIAsiaEx-Japan Index (w.e.f. 1 January 2009). UnderlyingindexdataaresourcedfromS&PDowJonesIndices,LLCandLipper and expressed in Ringgit terms.",[MFR FEB26] Public Series of Shariah-Based Funds.pdf
PUBLIC SMALLCAP FUND,P SmallCap,Conventional,Equity,Malaysia,Capital Growth,5,Incidental,1448.19,13.06.2000,Qualified,100.0,5/5,3.52,-0.06,3.58,16.01,-0.97,16.98,7.49,0.70,6.79,4.37,-0.76,5.13,5.68,0.42,5.26,0.46,2.18,0.87,0.66,0.67,76.70,17.10,,6.20,,,13.00,,,4.10,,,,,,,,,23.40,,34.30,19.50,,7.00,,,,,5.70,TIME dotCom Berhad | IGB Real Estate Investment Trust | Hong Leong Industries Berhad | Malaysian Pacific Industries Berhad | IGB Berhad,"Financial (34.3%) | Industrial (23.4%) | Communications (19.5%) | Consumer, Non-cyclical (7.0%) | Diversified (5.7%)",7.8,Moderate,Equity Malaysia Domestic 30% of the fund’s NAV,,[MFR FEB26] Public Series Funds.pdf
PUBLIC REGIONAL SECTOR FUND,PRSEC,Conventional,Equity,Malaysia,Capital Growth,5,Incidental,571.04,21.03.2006,Qualified,100.0,5/5,19.90,10.69,9.21,39.14,26.12,13.02,20.85,14.17,6.68,4.71,2.39,2.32,8.53,7.39,1.14,0.54,0.77,0.39,0.14,0.07,1.00,93.20,,5.80,,,,30.20,36.20,9.80,,,10.40,3.30,,,,,20.20,51.20,8.70,14.10,,,,,,,,Samsung Electronics Company Limited | Taiwan Semiconductor Manufacturing Company Limited | SK Hynix Incorporated | HD Hyundai Electric Company Limited | Tencent Holdings Limited,Technology (51.2%) | Industrial (20.2%) | Communications (14.1%) | Financial (8.7%),17.0,Very High,Equity Asia Pacific Asia,,[MFR FEB26] Public Series Funds.pdf
PUBLIC ASIA PACIFIC FOCUS FUND,PAPFF,Conventional,Equity,Asia Pacific,Capital Growth,5,Incidental,120.99,30.11.2021,Qualified,100.0,3/3,19.16,9.35,9.81,43.85,24.76,19.09,22.92,16.43,6.49,,,,,,,0.53,1.03,0.35,,,1.00,93.50,,5.50,,,9.40,26.80,39.90,8.70,,,8.70,,,,,,23.00,54.30,2.20,15.00,,,,,,,,Samsung Electronics Company Limited | SK Hynix Incorporated | Taiwan Semiconductor Manufacturing Company Limited | HD Hyundai Electric Company Limited | Alibaba Group Holding Limited - W,Technology (54.3%) | Industrial (23.0%) | Communications (15.0%) | Financial (2.2%),18.5,Very High,Equity Asia Pacific Asia,"ThebenchmarkforPAPFFisacompositeof80%customisedindexbyS&PDow JonesIndices,LLCbasedonthetop30constituentsoftheS&PBMIAsiaEx-Japan Index, 10% Tokyo Stock Price Index (TOPIX) and 10% 3-Month Kuala Lumpur Interbank Offered Rate (KLIBOR). UnderlyingindexdataaresourcedfromS&PDowJonesIndices,LLC,Lipperand Bank Negara Malaysia and expressed in Ringgit terms.",[MFR FEB26] Public Series Funds.pdf
PUBLIC STRATEGIC SMALLCAP FUND,PSSCF,Conventional,Equity,Malaysia,Capital Growth,5,Incidental,455.28,20.03.2012,Qualified,100.0,5/5,0.59,-0.06,0.65,15.84,-0.97,16.81,6.70,0.70,6.00,2.02,-0.76,2.78,4.05,0.42,3.63,0.06,1.46,0.52,0.24,0.32,76.70,18.40,,4.90,,,14.10,,,4.30,,,,,,,,,39.30,,14.30,14.50,,14.50,,,,,5.40,Spritzer Berhad | Kelington Group Berhad | Meta Platforms Incorporated | Malaysian Pacific Industries Berhad | Alphabet Incorporated - Class A,"Industrial (39.3%) | Communications (14.5%) | Consumer, Non-cyclical (14.5%) | Financial (14.3%) | Diversified (5.4%)",11.5,High,Equity Malaysia Domestic 30% of the fund’s NAV,Index data are sourced from Lipper.,[MFR FEB26] Public Series Funds.pdf
PUBLIC ISLAMIC ASIA DIVIDEND FUND,PIADF,Shariah,Equity,Asia,Income,5,Annual,1686.97,03.04.2007,Qualified,100.0,5/5,17.79,14.96,2.83,34.98,30.36,4.62,18.53,13.61,4.92,3.33,2.84,0.49,8.41,6.94,1.47,0.19,0.31,0.33,0.03,0.10,1.80,84.60,,13.60,,,4.00,20.40,39.70,,,,12.10,,,,3.60,,20.20,36.90,,25.10,,1.50,,,1.80,,,Samsung Electronics Company Limited | SK Hynix Incorporated | Taiwan Semiconductor Manufacturing Company Limited | Alibaba Group Holding Limited - W | Hanwha Aerospace Company Limited,"Technology (36.9%) | Communications (25.1%) | Industrial (20.2%) | Basic Materials (1.8%) | Consumer, Non-cyclical (1.5%)",14.9,Very High,Equity Asia Pacific Asia,,[MFR FEB26] Public Series of Shariah-Based Funds.pdf
PUBLIC ISLAMIC SAVINGS FUND,PISVF,Shariah,Equity,Malaysia,Income,4,Semi-Annual,486.59,15.12.2011,Qualified,100.0,5/5,1.97,0.96,1.01,14.18,6.76,7.42,9.01,4.19,4.82,2.39,-0.72,3.11,4.64,0.35,4.29,0.11,0.81,0.52,0.34,0.47,76.50,17.30,,6.20,,,8.90,2.00,6.40,,,,,,,,,,26.80,,12.30,13.90,,9.80,10.30,,,,,Tenaga Nasional Berhad | Telekom Malaysia Berhad | Press Metal Aluminium Holdings Berhad | HD Hyundai Electric Company Limited | Malayan Cement Berhad,"Industrial (26.8%) | Communications (13.9%) | Financial (12.3%) | Utilities (10.3%) | Consumer, Non-cyclical (9.8%)",9.2,Moderate,Equity Malaysia Domestic,,[MFR FEB26] Public Series of Shariah-Based Funds.pdf
PB GREATER CHINA A-SHARES FUND,PBGCASF,Conventional,Equity,Greater China,Capital Growth,5,Incidental,543.83,10.03.2020,Qualified,100.0,4/4,-0.15,-1.59,1.44,28.45,4.87,23.58,11.29,6.63,4.66,0.01,-0.97,0.97,,,,0.07,1.22,0.24,0.05,,,90.50,,9.50,,,2.30,24.90,,,,,63.30,,,,,,6.70,34.80,,17.10,,10.00,,,16.00,,,Taiwan Semiconductor Manufacturing Company Limited | Zijin Mining Group Company Limited - A Shares (HKS) | Wanhua Chemical Group Company Limited - A Shares (HKS) | Kinik Company | NAURA Technology Group Company Limited - A Shares (HKS),"Technology (34.8%) | Communications (17.1%) | Basic Materials (16.0%) | Consumer, Non-cyclical (10.0%) | Industrial (6.7%)",19.3,Very High,Equity Greater China Greater China,"ThebenchmarkforPBGCASFisacompositeof50%S&PChinaA50Index,25% Hang Seng China Enterprises Index(HSCEI), 15% S&P Taiwan LargeCapIndex and 10% 3-Month Kuala Lumpur Interbank Offered Rate (KLIBOR). UnderlyingindexdataaresourcedfromLipper,S&PDowJonesIndices,LLCand Bank Negara Malaysia and expressed in Ringgit terms.",[MFR FEB26] PB Series Funds.pdf
PUBLIC ISLAMIC TREASURES GROWTH FUND,PITGF,Shariah,Equity,Malaysia,Capital Growth,5,Incidental,283.97,19.07.2011,Qualified,100.0,5/5,9.12,1.14,7.98,14.90,0.73,14.17,6.06,1.66,4.40,0.18,-1.83,2.01,3.87,1.18,2.69,0.89,1.57,0.49,0.22,0.30,76.80,18.70,,4.50,,,7.60,5.80,,5.30,,,,,,,,,34.10,,12.40,8.20,,18.90,,,,,6.60,Vitrox Corporation Berhad | TIME dotCom Berhad | QL Resources Berhad | Malaysian Pacific Industries Berhad | Bursa Malaysia Berhad,"Industrial (34.1%) | Consumer, Non-cyclical (18.9%) | Financial (12.4%) | Communications (8.2%) | Diversified (6.6%)",9.0,Moderate,Equity Malaysia Domestic,"The benchmark for PITGF is a composite of 90% FTSE Bursa Malaysia EMAS Shariah Index (prior to 30 April 2013), 90% FTSE Bursa Malaysia Small Cap ShariahIndex(FBMSSC)(30April2013to29April2015),90%customisedindex byFTSEbasedontheconstituentswithmarketcapitalisationbelowRM6.0billion withintheFTSE BursaMalaysia EMAS ShariahIndex(w.e.f. 30April 2015)and 10% 3-Month Islamic Interbank Money Market (IIMM) rate. Underlying index data are sourced from FTSE International Limited, Lipper and Bank Negara Malaysia.",[MFR FEB26] Public Series of Shariah-Based Funds.pdf
PUBLIC SELECT TREASURES EQUITY FUND,PSTEF,Conventional,Equity,Malaysia,Capital Growth,5,Incidental,415.66,22.07.2015,Qualified,100.0,5/5,6.19,3.11,3.08,17.13,4.05,13.08,10.41,7.06,3.35,3.18,2.05,1.13,7.48,2.78,4.70,0.34,1.44,0.37,0.12,0.52,74.20,22.50,,3.30,,,4.90,14.20,,,,3.40,,,,,,,37.30,7.30,31.10,5.00,,12.20,,,,,,Hon.Precision Incorporated | Kinik Company | IGB Real Estate Investment Trust | TIME dotCom Berhad | HEICO Corporation,"Industrial (37.3%) | Financial (31.1%) | Consumer, Non-cyclical (12.2%) | Technology (7.3%) | Communications (5.0%)",9.1,Moderate,Equity Malaysia Domestic 25% of the fund’s NAV,,[MFR FEB26] Public Series Funds.pdf
PUBLIC DIVIDEND SELECT FUND,PDSF,Conventional,Equity,Malaysia,Income,4,Semi-Annual,866.73,03.05.2005,Qualified,100.0,5/5,2.68,2.48,0.20,9.19,7.73,1.46,9.59,6.31,3.28,4.72,2.09,2.63,3.59,1.31,2.28,0.03,0.22,0.49,0.39,0.34,76.30,17.90,,5.80,,,12.50,,,,5.40,,,,,,,,7.30,,47.50,9.30,13.30,,8.40,,,,,Public Bank Berhad | Malayan Banking Berhad | CIMB Group Holdings Berhad | IGB Real Estate Investment Trust | Tenaga Nasional Berhad,"Financial (47.5%) | Consumer, Cyclical (13.3%) | Communications (9.3%) | Utilities (8.4%) | Industrial (7.3%)",6.7,Low,Equity Malaysia Income Domestic 30% of the fund’s NAV,,[MFR FEB26] Public Series Funds.pdf
PUBLIC FOCUS SELECT FUND,PFSF,Conventional,Equity,United States,Capital Growth,5,Incidental,491.80,25.11.2004,Qualified,100.0,5/5,4.79,4.40,0.39,15.42,5.44,9.98,12.56,9.29,3.27,5.35,2.56,2.79,5.43,3.19,2.24,0.05,1.30,0.42,0.36,0.29,74.90,22.40,,2.70,,,5.40,15.30,,,,1.70,,,,,,,30.50,8.10,33.10,5.50,,14.50,,,,,,Hon.Precision Incorporated | Kinik Company | QL Resources Berhad | LPI Capital Berhad | TIME dotCom Berhad,"Financial (33.1%) | Industrial (30.5%) | Consumer, Non-cyclical (14.5%) | Technology (8.1%) | Communications (5.5%)",7.7,Low,Equity Malaysia Domestic 30% of the fund’s NAV,Kuala Lumpur Composite Index (prior to 30 April 2008). FTSE Bursa Malaysia Mid 70 Index (w.e.f. 30 April 2008). Underlying index data are sourced from Lipper.,[MFR FEB26] Public Series Funds.pdf
PUBLIC FAR-EAST PROPERTY & RESORTS FUND,PFEPRF,Conventional,Equity,Asia Pacific,Capital Growth,5,Annual,199.90,10.07.2007,Qualified,100.0,5/5,9.04,8.32,0.72,15.68,14.99,0.69,8.69,5.70,2.99,4.05,0.83,3.22,3.30,1.26,2.04,0.08,0.07,0.31,0.34,0.21,26.20,63.60,,10.20,,,,,,20.40,,,7.00,2.30,,,18.30,,,,,,,,,,,89.80,,Sun Hung Kai Properties Limited | Goodman Group | China Resources Land Limited | IGB Real Estate Investment Trust | Mitsubishi Estate Company Limited,Real Estate (45.6%) | REITS (41.4%) | Home Builders (2.8%),9.5,Moderate,Equity Sector Real Asia,,[MFR FEB26] Public Series Funds.pdf
PUBLIC EMERGING OPPORTUNITIES FUND,PEMOF,Conventional,Equity,Malaysia,Capital Growth,5,Incidental,151.06,30.03.2016,Qualified,100.0,4/4,6.11,2.66,3.45,9.84,0.58,9.26,9.06,6.19,2.87,1.97,1.73,0.24,,,,0.33,0.87,0.27,0.02,,74.30,22.80,,2.90,,,5.30,14.70,,,,2.80,,,,,,,44.80,7.70,25.90,,,8.30,,4.70,,,,Kelington Group Berhad | Hon.Precision Incorporated | Kinik Company | Sunway Real Estate Investment Trust | IGB Real Estate Investment Trust,"Industrial (44.8%) | Financial (25.9%) | Consumer, Non-cyclical (8.3%) | Technology (7.7%) | Energy (4.7%)",10.6,High,Equity Malaysia Domestic 25% of the fund’s NAV,,[MFR FEB26] Public Series Funds.pdf
PB CHINA PACIFIC EQUITY FUND,PBCPEF,Conventional,Equity,Greater China,Capital Growth,5,Incidental,241.62,23.10.2007,Qualified,100.0,5/5,15.47,7.97,7.50,20.01,19.44,0.57,13.31,10.71,2.60,-0.75,-1.53,0.78,8.03,6.82,1.21,0.42,0.03,0.14,0.04,0.07,,86.90,,13.10,,,4.00,30.80,21.70,7.10,,,23.30,,,,,,17.90,49.00,4.30,13.50,2.20,,,,,,,Samsung Electronics Company Limited | SK Hynix Incorporated | Taiwan Semiconductor Manufacturing Company Limited | Alibaba Group Holding Limited - W | Semiconductor Manufacturing International Corporation,"Technology (49.0%) | Industrial (17.9%) | Communications (13.5%) | Financial (4.3%) | Consumer, Cyclical (2.2%)",18.0,Very High,Equity Asia Pacific Greater China,"ThebenchmarkforPBCPEFisacompositeof70%HangSengChinaEnterprises Index (HSCEI) and 30% Hang Seng Index (HSI) (prior to 1 January 2009). MSCI Zhong Hua Index (1 January 2009 to 29 April 2015). 80%MSCIZhongHuaIndex(30April2015to29April2021),80%S&PChina& HongKongLargeMidCapIndex(30April 2021to28December2025),60%S&P China&HongKongLargeMidCapIndex(w.e.f.29December2025),10%KOSPI50 Index (30 April 2015 to 29 April 2016), 10% MSCI Korea Large Cap Index (30April2016to29April2021),10%S&PKoreaLargeCapIndex(30April2021to 28December2025),15%S&PKoreaLargeCapIndex(w.e.f.29December2025), 10% FTSE TWSE Taiwan50Index(30April 2015 to29 April 2016), 10% MSCI Taiwan Large Cap Index (30 April 2016 to 29 April 2021), 10% S&P Taiwan LargeCapIndex(30April2021to28December2025),15%S&PTaiwanLargeCap Index(w.e.f.29December2025)and10%3-MonthKualaLumpurInterbankOffered Rate (KLIBOR) (w.e.f. 29 December 2025). UnderlyingindexdataaresourcedfromS&PDowJonesIndices,LLC,Lipperand Bank Negara Malaysia and expressed in Ringgit terms.",[MFR FEB26] PB Series Funds.pdf
PUBLIC ADVANTAGE GROWTH EQUITY FUND,PAVGEF,Conventional,Equity,Malaysia,Capital Growth,5,Incidental,19.45,08.09.2015,Qualified,100.0,5/5,2.32,2.17,0.15,12.36,9.01,3.35,7.62,5.69,1.93,2.27,1.70,0.57,4.51,0.37,4.14,0.01,0.30,0.18,0.05,0.38,76.80,12.40,,10.80,,,5.50,3.60,,,,,3.30,,,,,,19.30,,27.50,17.10,,,10.50,,6.90,,,Malayan Banking Berhad | Tenaga Nasional Berhad | UWC Berhad | Press Metal Aluminium Holdings Berhad | Telekom Malaysia Berhad,Financial (27.5%) | Industrial (19.3%) | Communications (17.1%) | Utilities (10.5%) | Basic Materials (6.9%),11.0,High,Equity Malaysia Domestic 25% of the fund’s NAV,,[MFR FEB26] Public Series Funds.pdf
PUBLIC ISLAMIC SECTOR SELECT FUND,PISSF,Shariah,Equity,Malaysia,Capital Growth,4,Incidental,112.13,13.11.2007,Qualified,100.0,5/5,2.62,1.00,1.62,7.07,7.06,0.01,5.13,4.20,0.93,1.73,-1.20,2.93,1.55,-0.03,1.58,0.20,0.00,0.12,0.37,0.20,77.00,21.10,,1.90,,,8.90,6.90,,,5.30,,,,,,,,26.90,,,23.70,,16.30,10.20,8.60,,,,Tenaga Nasional Berhad | Sunway Construction Group Berhad | Telekom Malaysia Berhad | Gamuda Berhad | Malayan Cement Berhad,"Industrial (26.9%) | Communications (23.7%) | Consumer, Non-cyclical (16.3%) | Utilities (10.2%) | Energy (8.6%)",8.0,Moderate,Equity Malaysia Domestic,Index data are sourced from Lipper.,[MFR FEB26] Public Series of Shariah-Based Funds.pdf
PUBLIC ISLAMIC OPPORTUNITIES FUND,PIOF,Shariah,Equity,Malaysia,Capital Growth,5,Incidental,1090.72,28.06.2005,Qualified,100.0,5/5,1.51,-1.51,3.02,1.63,-0.19,1.82,2.22,1.30,0.92,-0.79,-1.00,0.21,5.32,0.25,5.07,0.27,0.16,0.08,0.02,0.46,69.90,18.90,,11.20,,,6.20,5.50,7.20,,,,,,,,,,39.90,14.50,11.40,5.60,6.90,,,,,,,Kelington Group Berhad | Frontken Corporation Berhad | Taiwan Semiconductor Manufacturing Company Limited | Uchi Technologies Berhad | HD Hyundai Electric Company Limited,"Industrial (39.9%) | Technology (14.5%) | Financial (11.4%) | Consumer, Cyclical (6.9%) | Communications (5.6%)",11.1,High,Equity Malaysia Domestic,Kuala Lumpur Syariah Index (prior to 1 November 2007). FTSE Bursa Malaysia EMAS Shariah Index (1 November 2007 to 29 April 2013). FTSE Bursa Malaysia Small Cap Shariah Index (w.e.f. 30 April 2013). Underlying index data are sourced from Lipper.,[MFR FEB26] Public Series of Shariah-Based Funds.pdf
PUBLIC e-ASIA EVOLVING GROWTH FUND,PeAEVGF,Conventional,Equity,Asia,Capital Growth,5,Incidental,764.28,30.11.2021,Qualified,100.0,3/3,11.61,9.41,2.20,26.36,25.40,0.96,17.64,16.90,0.74,,,,,,,0.12,0.05,0.04,,,1.00,85.20,,13.80,,,11.60,19.20,22.20,,,1.60,30.60,,,,,,13.70,42.80,1.00,23.50,5.20,,,,,,,Samsung Electronics Company Limited | Taiwan Semiconductor Manufacturing Company Limited | SK Hynix Incorporated | Unimicron Technology Corporation | Alibaba Group Holding Limited - W,"Technology (42.8%) | Communications (23.5%) | Industrial (13.7%) | Consumer, Cyclical (5.2%) | Financial (1.0%)",18.5,Very High,Equity Asia Pacific ex- Asia,"ThebenchmarkforPeAEVGFisacompositeof90%customisedindexbyS&PDow JonesIndices,LLCbasedonthetop30constituentsoftheS&PBMIAsiaEx-Japan Index and 10% 3-Month Kuala Lumpur Interbank Offered Rate (KLIBOR). Underlying indexdata are sourced from S&P Dow Jones Indices, LLC and Bank Negara Malaysia and expressed in Ringgit terms.",[MFR FEB26] Public e-Series Funds.pdf
PUBLIC ISLAMIC SUSTAINABLE GROWTH FUND,PISGRTF,Shariah,Equity,Malaysia,Capital Growth,4,Incidental,122.80,04.06.2024,Qualified,100.0,2/2,1.12,0.90,0.22,10.94,6.81,4.13,,,,,,,,,,,,,,,75.60,16.40,,8.00,,,8.10,5.70,,,,,2.60,,,,,,20.30,,22.60,24.50,,7.20,9.60,,,,,Tenaga Nasional Berhad | Sunway Berhad | Telekom Malaysia Berhad | TIME dotCom Berhad | QL Resources Berhad,"Communications (24.5%) | Financial (22.6%) | Industrial (20.3%) | Utilities (9.6%) | Consumer, Non-cyclical (7.2%)",,,,Index data are sourced from Lipper.,[MFR FEB26] Public Series of Shariah-Based Funds.pdf
PUBLIC ISLAMIC GLOBAL SUSTAINABLE GROWTH FUND,PISGSGF,Shariah,Equity,Global,Capital Growth,5,Incidental,722.51,20.02.2024,Qualified,100.0,2/2,0.23,-0.05,0.28,16.92,8.28,8.64,,,,,,,,,,,,,,,3.70,81.20,,15.10,,,51.00,9.50,8.20,,,,4.50,,6.60,,,,,49.80,5.10,23.40,5.00,1.60,,,,,,Taiwan Semiconductor Manufacturing Company Limited | Alphabet Incorporated - Class A | Apple Incorporated | Meta Platforms Incorporated | ASML Holding N.V. - NYS,"Technology (49.8%) | Communications (23.4%) | Financial (5.1%) | Consumer, Cyclical (5.0%) | Consumer, Non-cyclical (1.6%)",,,,"The benchmark for PISGSGF is a composite of 90% S&P Global 1200 ESG Shariah Index and 10% 3-Month Islamic Interbank Money Market (IIMM) rate. UnderlyingindexdataaresourcedfromS&PDowJonesIndices,LLCandBank Negara Malaysia and expressed in Ringgit terms.",[MFR FEB26] Public Series of Shariah-Based Funds.pdf
PUBLIC CHINA SELECT FUND,PCSF,Conventional,Equity,Greater China,Capital Growth,5,Incidental,879.09,05.06.2007,Qualified,80.0,4/5,2.92,3.47,-0.55,28.84,11.24,17.60,18.19,10.93,7.26,3.99,-0.61,4.60,9.40,7.19,2.21,-0.03,1.07,0.44,0.28,0.13,,94.80,,5.20,,,19.00,49.70,,,,,26.10,,,,,,15.50,40.30,,30.60,8.40,,,,,,,Taiwan Semiconductor Manufacturing Company Limited | Asia Vital Components Company Limited | Elite Material Company Limited | Alibaba Group Holding Limited - W | Tencent Holdings Limited,"Technology (40.3%) | Communications (30.6%) | Industrial (15.5%) | Consumer, Cyclical (8.4%)",16.4,Very High,Equity Greater China Greater China,,[MFR FEB26] Public Series Funds.pdf
PB GROWTH SEQUEL FUND,PBGSQF,Conventional,Equity,Malaysia,Capital Growth,4,Incidental,64.33,15.11.2011,Qualified,80.0,4/5,-0.65,2.17,-2.82,13.30,9.01,4.29,11.49,5.69,5.80,5.16,1.70,3.46,4.30,0.37,3.93,-0.32,0.48,0.65,0.39,0.44,76.30,15.30,,8.40,,,10.40,4.90,,,,,,,,,,,28.50,4.90,24.70,17.70,,8.40,,,,,,Public Bank Berhad | Sunway Berhad | Southern Cable Group Berhad | QL Resources Berhad | Malayan Cement Berhad,"Industrial (28.5%) | Financial (24.7%) | Communications (17.7%) | Consumer, Non-cyclical (8.4%) | Technology (4.9%)",8.9,Moderate,Equity Malaysia,Index data are sourced from Lipper.,[MFR FEB26] PB Series Funds.pdf
PUBLIC ITTIKAL FUND,P ITTIKAL,Shariah,Equity,Malaysia,Capital Growth,4,Incidental,3917.94,10.04.1997,Qualified,80.0,4/5,-0.51,1.00,-1.51,12.12,7.06,5.06,9.97,4.20,5.77,4.75,-1.20,5.95,3.48,-0.03,3.51,-0.18,0.60,0.68,0.70,0.41,75.00,20.40,,4.60,,,12.10,8.30,,,,,,,,,,,,12.00,13.80,19.10,,21.00,9.70,,,,,Sunway Berhad | Tenaga Nasional Berhad | IHH Healthcare Berhad | Telekom Malaysia Berhad | QL Resources Berhad,"Consumer, Non-cyclical (21.0%) | Communications (19.1%) | Financial (13.8%) | Technology (12.0%) | Utilities (9.7%)",8.5,Moderate,Equity Malaysia Domestic,Kuala Lumpur Syariah Index (prior to 1 November 2007). FTSE Bursa Malaysia EMAS Shariah Index (w.e.f. 1 November 2007).,[MFR FEB26] Public Series of Shariah-Based Funds.pdf
PUBLIC SECTOR SELECT FUND,PSSF,Conventional,Equity,Malaysia,Capital Growth,4,Incidental,378.83,13.11.2007,Qualified,80.0,4/5,1.87,2.70,-0.83,13.30,8.15,5.15,11.21,6.58,4.63,6.17,1.93,4.24,5.51,1.04,4.47,-0.14,0.84,0.76,0.70,0.73,76.20,19.60,,4.20,,,14.30,,,,3.00,,2.30,,,,,,,7.00,44.90,17.40,,8.90,5.90,,,,,Malayan Banking Berhad | Public Bank Berhad | Telekom Malaysia Berhad | Meta Platforms Incorporated | NVIDIA Corporation,"Financial (44.9%) | Communications (17.4%) | Consumer, Non-cyclical (8.9%) | Technology (7.0%) | Utilities (5.9%)",6.1,Low,Equity Malaysia Domestic 25% of the fund’s NAV,,[MFR FEB26] Public Series Funds.pdf
PUBLIC ISLAMIC SELECT ENTERPRISES FUND,PISEF,Shariah,Equity,Malaysia,Capital Growth,4,Incidental,947.53,14.08.2008,Qualified,80.0,4/5,-1.86,1.00,-2.86,10.46,7.06,3.40,8.43,4.20,4.23,3.11,-1.20,4.31,2.70,-0.03,2.73,-0.34,0.40,0.50,0.51,0.32,76.50,17.10,,6.40,,,11.00,,,,2.10,,4.00,,,,,,12.40,,,17.40,,19.00,9.70,8.30,,,,Tenaga Nasional Berhad | Telekom Malaysia Berhad | NVIDIA Corporation | Gamuda Berhad | Malayan Cement Berhad,"Consumer, Non-cyclical (19.0%) | Communications (17.4%) | Industrial (12.4%) | Utilities (9.7%) | Energy (8.3%)",8.5,Moderate,Equity Malaysia Domestic,,[MFR FEB26] Public Series of Shariah-Based Funds.pdf
